国家,国家代码,年份,国际游客到访量,世界区域
Brazil,BRA,2010,5161000.0,South America
Canada,CAN,2010,16219000.0,North America
China,CHN,2010,55664000.0,Asia
Egypt,EGY,2010,14051000.0,Africa
France,FRA,2010,76647000.0,Europe
Germany,DEU,2010,26875000.0,Europe
Greece,GRC,2010,15007000.0,Europe
India,IND,2010,5776000.0,Asia
Italy,ITA,2010,43626000.0,Europe
Malaysia,MYS,2010,24577000.0,Asia
Mexico,MEX,2010,23290000.0,North America
Portugal,PRT,2010,6756000.0,Europe
Singapore,SGP,2010,9161000.0,Asia
South Africa,ZAF,2010,8074000.0,Africa
Spain,ESP,2010,52677000.0,Europe
Thailand,THA,2010,15936000.0,Asia
Turkey,TUR,2010,31364000.0,Asia
United Kingdom,GBR,2010,28911000.0,Europe
United States,USA,2010,60010000.0,North America
Brazil,BRA,2011,5433000.0,South America
Canada,CAN,2011,16016000.0,North America
China,CHN,2011,57581000.0,Asia
Egypt,EGY,2011,9497000.0,Africa
France,FRA,2011,80499000.0,Europe
Germany,DEU,2011,28374000.0,Europe
Greece,GRC,2011,16427000.0,Europe
India,IND,2011,6309000.0,Asia
Italy,ITA,2011,46119000.0,Europe
Malaysia,MYS,2011,24714000.0,Asia
Mexico,MEX,2011,23403000.0,North America
Portugal,PRT,2011,7264000.0,Europe
Singapore,SGP,2011,10390000.0,Asia
South Africa,ZAF,2011,8339000.0,Africa
Spain,ESP,2011,56177000.0,Europe
Thailand,THA,2011,19230000.0,Asia
Turkey,TUR,2011,34654000.0,Asia
United Kingdom,GBR,2011,30384000.0,Europe
United States,USA,2011,63477416.0,North America
Brazil,BRA,2012,5677000.0,South America
Canada,CAN,2012,16344000.0,North America
China,CHN,2012,57725000.0,Asia
Egypt,EGY,2012,11196000.0,Africa
France,FRA,2012,81980000.0,Europe
Germany,DEU,2012,30411000.0,Europe
Greece,GRC,2012,15518000.0,Europe
India,IND,2012,6578000.0,Asia
Italy,ITA,2012,46360000.0,Europe
Malaysia,MYS,2012,25033000.0,Asia
Mexico,MEX,2012,23403000.0,North America
Portugal,PRT,2012,7503000.0,Europe
Singapore,SGP,2012,11098000.0,Asia
South Africa,ZAF,2012,9188000.0,Africa
Spain,ESP,2012,57464000.0,Europe
Thailand,THA,2012,22354000.0,Asia
Turkey,TUR,2012,35698000.0,Asia
United Kingdom,GBR,2012,30411000.0,Europe
United States,USA,2012,66966900.0,North America
Brazil,BRA,2013,5813000.0,South America
Canada,CAN,2013,16059000.0,North America
China,CHN,2013,55686000.0,Asia
Egypt,EGY,2013,9174000.0,Africa
France,FRA,2013,83634000.0,Europe
Germany,DEU,2013,31545000.0,Europe
Greece,GRC,2013,17920000.0,Europe
India,IND,2013,6968000.0,Asia
Italy,ITA,2013,47704000.0,Europe
Malaysia,MYS,2013,25715000.0,Asia
Mexico,MEX,2013,24151000.0,North America
Portugal,PRT,2013,9177000.0,Europe
Singapore,SGP,2013,11899000.0,Asia
South Africa,ZAF,2013,9537000.0,Africa
Spain,ESP,2013,60675000.0,Europe
Thailand,THA,2013,26547000.0,Asia
Turkey,TUR,2013,37795000.0,Asia
United Kingdom,GBR,2013,31946000.0,Europe
United States,USA,2013,71642904.0,North America
Brazil,BRA,2014,6430000.0,South America
Canada,CAN,2014,16537000.0,North America
China,CHN,2014,55622000.0,Asia
Egypt,EGY,2014,9628300.0,Africa
France,FRA,2014,83701000.0,Europe
Germany,DEU,2014,32999000.0,Europe
Greece,GRC,2014,22033000.0,Europe
India,IND,2014,13107000.0,Asia
Italy,ITA,2014,48576000.0,Europe
Malaysia,MYS,2014,27437000.0,Asia
Mexico,MEX,2014,29346000.0,North America
Portugal,PRT,2014,10497000.0,Europe
Singapore,SGP,2014,11864000.0,Asia
South Africa,ZAF,2014,9549000.0,Africa
Spain,ESP,2014,64939000.0,Europe
Thailand,THA,2014,24810000.0,Asia
Turkey,TUR,2014,39811000.0,Asia
United Kingdom,GBR,2014,33604000.0,Europe
United States,USA,2014,75379350.0,North America
Brazil,BRA,2015,6306000.0,South America
Canada,CAN,2015,17977000.0,North America
China,CHN,2015,56886000.0,Asia
Egypt,EGY,2015,9139000.0,Africa
France,FRA,2015,84452000.0,Europe
Germany,DEU,2015,34970000.0,Europe
Greece,GRC,2015,23599000.0,Europe
India,IND,2015,13284000.0,Asia
Indonesia,IDN,2015,9963000.0,Asia
Italy,ITA,2015,50732000.0,Europe
Malaysia,MYS,2015,25721000.0,Asia
Mexico,MEX,2015,32093000.0,North America
Portugal,PRT,2015,11723000.0,Europe
Singapore,SGP,2015,12052000.0,Asia
South Africa,ZAF,2015,8904000.0,Africa
Spain,ESP,2015,68175000.0,Europe
Thailand,THA,2015,29923000.0,Asia
Turkey,TUR,2015,39478000.0,Asia
United Kingdom,GBR,2015,35149000.0,Europe
United States,USA,2015,77773520.0,North America
Brazil,BRA,2016,6547000.0,South America
Canada,CAN,2016,19971000.0,North America
China,CHN,2016,59270000.0,Asia
Egypt,EGY,2016,5258000.0,Africa
France,FRA,2016,82682000.0,Europe
Germany,DEU,2016,35555000.0,Europe
Greece,GRC,2016,24799000.0,Europe
India,IND,2016,14570000.0,Asia
Indonesia,IDN,2016,11072000.0,Asia
Italy,ITA,2016,52372000.0,Europe
Malaysia,MYS,2016,26757000.0,Asia
Mexico,MEX,2016,35079000.0,North America
Portugal,PRT,2016,13359000.0,Europe
Singapore,SGP,2016,12913000.0,Asia
South Africa,ZAF,2016,10044000.0,Africa
Spain,ESP,2016,75315000.0,Europe
Thailand,THA,2016,32530000.0,Asia
Turkey,TUR,2016,30289000.0,Asia
United Kingdom,GBR,2016,37358000.0,Europe
United States,USA,2016,76407490.0,North America
Brazil,BRA,2017,6589000.0,South America
Canada,CAN,2017,20883000.0,North America
China,CHN,2017,60740000.0,Asia
Egypt,EGY,2017,8157000.0,Africa
France,FRA,2017,86758000.0,Europe
Germany,DEU,2017,37452000.0,Europe
Greece,GRC,2017,27194000.0,Europe
Indonesia,IDN,2017,12948000.0,Asia
Italy,ITA,2017,58253000.0,Europe
Malaysia,MYS,2017,25948000.0,Asia
Mexico,MEX,2017,39291000.0,North America
Portugal,PRT,2017,15432000.0,Europe
Singapore,SGP,2017,13903000.0,Asia
