Source,Year,Month,Mean
GISTEMP,1880,1,-0.19
GCAG,1880,1,-0.3816
GISTEMP,1880,2,-0.25
GCAG,1880,2,-0.4331
GISTEMP,1880,3,-0.1
GCAG,1880,3,-0.1816
GISTEMP,1880,4,-0.17
GCAG,1880,4,-0.3249
GISTEMP,1880,5,-0.1
GCAG,1880,5,-0.3183
GISTEMP,1880,6,-0.22
GCAG,1880,6,-0.3668
GISTEMP,1880,7,-0.19
GCAG,1880,7,-0.32
GISTEMP,1880,8,-0.11
GCAG,1880,8,-0.0949
GISTEMP,1880,9,-0.15
GCAG,1880,9,-0.2884
GISTEMP,1880,10,-0.24
GCAG,1880,10,-0.3753
GISTEMP,1880,11,-0.23
GCAG,1880,11,-0.2591
GISTEMP,1880,12,-0.19
GCAG,1880,12,-0.294
GISTEMP,1881,1,-0.2
GCAG,1881,1,-0.1739
GISTEMP,1881,2,-0.16
GCAG,1881,2,-0.1996
GISTEMP,1881,3,0.02
GCAG,1881,3,-0.2154
GISTEMP,1881,4,0.04
GCAG,1881,4,-0.0534
GISTEMP,1881,5,0.06
GCAG,1881,5,-0.0987
GISTEMP,1881,6,-0.19
GCAG,1881,6,-0.3896
GISTEMP,1881,7,0.01
GCAG,1881,7,-0.1827
GISTEMP,1881,8,-0.04
GCAG,1881,8,-0.1318
GISTEMP,1881,9,-0.16
GCAG,1881,9,-0.2867
GISTEMP,1881,10,-0.22
GCAG,1881,10,-0.217
GISTEMP,1881,11,-0.19
GCAG,1881,11,-0.3699
GISTEMP,1881,12,-0.07
GCAG,1881,12,-0.2374
GISTEMP,1882,1,0.15
GCAG,1882,1,-0.0118
GISTEMP,1882,2,0.13
GCAG,1882,2,-0.0981
GISTEMP,1882,3,0.04
GCAG,1882,3,-0.146
GISTEMP,1882,4,-0.16
GCAG,1882,4,-0.2892
GISTEMP,1882,5,-0.14
GCAG,1882,5,-0.2898
GISTEMP,1882,6,-0.23
GCAG,1882,6,-0.3581
GISTEMP,1882,7,-0.17
GCAG,1882,7,-0.3078
GISTEMP,1882,8,-0.08
GCAG,1882,8,-0.2239
GISTEMP,1882,9,-0.15
GCAG,1882,9,-0.1453
GISTEMP,1882,10,-0.24
GCAG,1882,10,-0.3824
GISTEMP,1882,11,-0.17
GCAG,1882,11,-0.3851
GISTEMP,1882,12,-0.37
GCAG,1882,12,-0.6278
GISTEMP,1883,1,-0.3
GCAG,1883,1,-0.4403
GISTEMP,1883,2,-0.37
GCAG,1883,2,-0.4484
GISTEMP,1883,3,-0.13
GCAG,1883,3,-0.2487
GISTEMP,1883,4,-0.18
GCAG,1883,4,-0.4166
GISTEMP,1883,5,-0.18
GCAG,1883,5,-0.3235
GISTEMP,1883,6,-0.07
GCAG,1883,6,-0.1592
GISTEMP,1883,7,-0.08
GCAG,1883,7,-0.2155
GISTEMP,1883,8,-0.14
GCAG,1883,8,-0.2777
GISTEMP,1883,9,-0.22
GCAG,1883,9,-0.3012
GISTEMP,1883,10,-0.11
GCAG,1883,10,-0.3232
GISTEMP,1883,11,-0.24
GCAG,1883,11,-0.3733
GISTEMP,1883,12,-0.12
GCAG,1883,12,-0.4031
GISTEMP,1884,1,-0.13
GCAG,1884,1,-0.426
GISTEMP,1884,2,-0.08
GCAG,1884,2,-0.3104
GISTEMP,1884,3,-0.37
GCAG,1884,3,-0.4914
GISTEMP,1884,4,-0.4
GCAG,1884,4,-0.4687
GISTEMP,1884,5,-0.34
GCAG,1884,5,-0.5461
GISTEMP,1884,6,-0.35
GCAG,1884,6,-0.4881
GISTEMP,1884,7,-0.31
GCAG,1884,7,-0.5557
GISTEMP,1884,8,-0.28
GCAG,1884,8,-0.4198
GISTEMP,1884,9,-0.27
GCAG,1884,9,-0.4978
GISTEMP,1884,10,-0.25
GCAG,1884,10,-0.4483
GISTEMP,1884,11,-0.34
GCAG,1884,11,-0.5693
GISTEMP,1884,12,-0.31
GCAG,1884,12,-0.472
GISTEMP,1885,1,-0.59
GCAG,1885,1,-0.6448
GISTEMP,1885,2,-0.34
GCAG,1885,2,-0.5387
GISTEMP,1885,3,-0.27
GCAG,1885,3,-0.4076
GISTEMP,1885,4,-0.42
GCAG,1885,4,-0.6183
GISTEMP,1885,5,-0.45
GCAG,1885,5,-0.592
GISTEMP,1885,6,-0.44
GCAG,1885,6,-0.6259
GISTEMP,1885,7,-0.34
GCAG,1885,7,-0.4087
GISTEMP,1885,8,-0.31
GCAG,1885,8,-0.3961
GISTEMP,1885,9,-0.28
GCAG,1885,9,-0.3477
GISTEMP,1885,10,-0.23
GCAG,1885,10,-0.3461
GISTEMP,1885,11,-0.24
GCAG,1885,11,-0.3678
GISTEMP,1885,12,-0.1
GCAG,1885,12,-0.204
GISTEMP,1886,1,-0.44
GCAG,1886,1,-0.4579
GISTEMP,1886,2,-0.51
GCAG,1886,2,-0.4703
GISTEMP,1886,3,-0.43
GCAG,1886,3,-0.4666
GISTEMP,1886,4,-0.28
GCAG,1886,4,-0.3433
GISTEMP,1886,5,-0.24
GCAG,1886,5,-0.2794
GISTEMP,1886,6,-0.35
GCAG,1886,6,-0.4983
GISTEMP,1886,7,-0.19
GCAG,1886,7,-0.2972
GISTEMP,1886,8,-0.31
GCAG,1886,8,-0.4495
GISTEMP,1886,9,-0.24
GCAG,1886,9,-0.3802
GISTEMP,1886,10,-0.28
GCAG,1886,10,-0.3992
GISTEMP,1886,11,-0.28
GCAG,1886,11,-0.4756
GISTEMP,1886,12,-0.25
GCAG,1886,12,-0.3806
GISTEMP,1887,1,-0.72
GCAG,1887,1,-0.7341
GISTEMP,1887,2,-0.57
GCAG,1887,2,-0.6458
GISTEMP,1887,3,-0.36
GCAG,1887,3,-0.4351
GISTEMP,1887,4,-0.35
GCAG,1887,4,-0.473
GISTEMP,1887,5,-0.31
GCAG,1887,5,-0.5125
GISTEMP,1887,6,-0.25
GCAG,1887,6,-0.5117
GISTEMP,1887,7,-0.26
GCAG,1887,7,-0.3789
GISTEMP,1887,8,-0.36
GCAG,1887,8,-0.4383
GISTEMP,1887,9,-0.26
GCAG,1887,9,-0.3789
