日期,年份,月份,零售销售额_百万美元,年月
2010-01-01,2010,1,302325,2010-01
2010-02-01,2010,2,302310,2010-02
2010-03-01,2010,3,309525,2010-03
2010-04-01,2010,4,312143,2010-04
2010-05-01,2010,5,309158,2010-05
2010-06-01,2010,6,308588,2010-06
2010-07-01,2010,7,309543,2010-07
2010-08-01,2010,8,310761,2010-08
2010-09-01,2010,9,313785,2010-09
2010-10-01,2010,10,317699,2010-10
2010-11-01,2010,11,320695,2010-11
2010-12-01,2010,12,323421,2010-12
2011-01-01,2011,1,325674,2011-01
2011-02-01,2011,2,328049,2011-02
2011-03-01,2011,3,331161,2011-03
2011-04-01,2011,4,333189,2011-04
2011-05-01,2011,5,332409,2011-05
2011-06-01,2011,6,335108,2011-06
2011-07-01,2011,7,334922,2011-07
2011-08-01,2011,8,335163,2011-08
2011-09-01,2011,9,339011,2011-09
2011-10-01,2011,10,341058,2011-10
2011-11-01,2011,11,342214,2011-11
2011-12-01,2011,12,343093,2011-12
2012-01-01,2012,1,345656,2012-01
2012-02-01,2012,2,350345,2012-02
2012-03-01,2012,3,351748,2012-03
2012-04-01,2012,4,349722,2012-04
2012-05-01,2012,5,349064,2012-05
2012-06-01,2012,6,345339,2012-06
2012-07-01,2012,7,346936,2012-07
2012-08-01,2012,8,351782,2012-08
2012-09-01,2012,9,354575,2012-09
2012-10-01,2012,10,354747,2012-10
2012-11-01,2012,11,356158,2012-11
2012-12-01,2012,12,357519,2012-12
2013-01-01,2013,1,360257,2013-01
2013-02-01,2013,2,365227,2013-02
2013-03-01,2013,3,362148,2013-03
2013-04-01,2013,4,360499,2013-04
2013-05-01,2013,5,362842,2013-05
2013-06-01,2013,6,364181,2013-06
2013-07-01,2013,7,366243,2013-07
2013-08-01,2013,8,365543,2013-08
2013-09-01,2013,9,365668,2013-09
2013-10-01,2013,10,366444,2013-10
2013-11-01,2013,11,366868,2013-11
2013-12-01,2013,12,369499,2013-12
2014-01-01,2014,1,366684,2014-01
2014-02-01,2014,2,371335,2014-02
2014-03-01,2014,3,375285,2014-03
2014-04-01,2014,4,379432,2014-04
2014-05-01,2014,5,379787,2014-05
2014-06-01,2014,6,380618,2014-06
2014-07-01,2014,7,381045,2014-07
